@SrBachchan,Amitabh Bachchan,30225331
@iamsrk,Shah Rukh Khan,29243279
@BeingSalmanKhan,Salman Khan,26819121
@aamir_khan,Aamir Khan,22111875
@akshaykumar,Akshay Kumar,21282982
@deepikapadukone,Deepika Padukone,20972773
@sachin_rt,sachin tendulkar,20166507
@priyankachopra,PRIYANKA,19902987
@iHrithik,Hrithik Roshan,19711007
@arrahman,A.R.Rahman,17090061
@aliaa08,Alia Bhatt,13787151
@virendersehwag,Virender Sehwag,13070085
@karanjohar,Karan Johar,12871993
@AnushkaSharma,Anushka Sharma,12723859
@juniorbachchan,Abhishek Bachchan,12236891
@shahidkapoor,Shahid Kapoor,11414507
@sonakshisinha,Maya,11142522
@ImRaina,Suresh Raina,10868402
@AnupamPkher,Anupam Kher,10461004
@FarOutAkhtar,Farhan Akhtar,10274244
@ParineetiChopra,Parineeti Chopra,9769986
@Asli_Jacqueline,Jacqueline Fernandez,8939848
@ImRo45,Rohit Sharma,8567184
@Riteishd,Riteish Deshmukh,7532082
@ajaydevgn,Ajay Devgn,7521747
@ShraddhaKapoor,Shraddha,7310475
@RNTata2000,Ratan N. Tata,6963260
@RanveerOfficial,Ranveer Singh,6962050
@msdhoni,Mahendra Singh Dhoni,6674670
@BDUTT,barkha dutt,6449619
@MirzaSania,Sania Mirza,6447934
@bhogleharsha,Harsha Bhogle,6342684
@ashwinravi99,Ashwin Ravichandran,6148987
@Varun_dvn,Varun Dhawan,6074790
@shrutihaasan,shruti haasan,6063074
@dhanushkraja,Dhanush,5829292
@bipsluvurself,Bipasha Basu,5765794
@GautamGambhir,Gautam Gambhir,5732932
@anandmahindra,anand mahindra,5504432
@NSaina,Saina Nehwal,5457265
@shreyaghoshal,Shreya Ghoshal,5292596
@TheShilpaShetty,SHILPA SHETTY KUNDRA,5264136
@MadhuriDixit,Madhuri Dixit-Nene,4928729
@SamanthaPrabhu2,Samantha Akkineni,4915869
@YUVSTRONG12,yuvraj singh,4749292
@TheFarahKhan,Farah Khan,4691260
@anirudhofficial,Anirudh Ravichander,4529350
@suhelseth,SUHEL SETH,4519303
@bomanirani,Boman Irani,4456703
@urstrulyMahesh,Mahesh Babu,4393444
@geneliad,Genelia Deshmukh,4306784
@virsanghvi,vir sanghvi,4262426
@superstarrajini,Rajinikanth,4247257
@ImZaheer,zaheer khan,4236839
@realpreityzinta,Preity zinta,4197877
@HamidMirPAK,Hamid Mir,4139819
@trishtrashers,Trisha Krishnan,4112540
@asliyoyo,Yo Yo Honey Singh,4075008
@ashabhosle,ashabhosle,3995130
@arjunk26,Arjun Kapoor,3861464
@iamnagarjuna,Nagarjuna Akkineni,3764907
@mrsfunnybones,Twinkle Khanna,3695787
@rahulkanwal,Rahul Kanwal,3694784
@ssrajamouli,rajamouli ss,3648413
@NargisFakhri,Nargis,3628988
@SunidhiChauhan5,Sunidhi Chauhan,3617256
@sagarikaghose,Sagarika Ghose,3475882
@ihansika,Hansika,3469924
@Actor_Siddharth,Siddharth,3419256
@VVSLaxman281,VVS Laxman,3166317
@Mohanlal,Mohanlal,3079987
@ajinkyarahane88,ajinkyarahane88,3074143
@chintskap,Rishi Kapoor,3019190
@MaheshNBhatt,Mahesh Bhatt,2919219
@diljitdosanjh,DILJIT DOSANJH,2885238
@anilkumble1074,Anil Kumble,2865983
@vikramchandra,Vikram Chandra,2825763
@VishalDadlani,VISHAL DADLANI,2764982
@iam_juhi,Juhi Chawla,2649783
@SunnyLeone,Sunny Leone,2627488
@ikamalhaasan,Kamal Haasan,2603805
@IrfanPathan,Irfan Pathan,2570463
@drsanjaygupta,Dr. Sanjay Gupta,2557925
@RJ_Balaji,RJ Balaji,2488158
@mallikasherawat,Mallika Sherawat,2426392
@shekharkapur,Shekhar Kapur,2423728
@singer_shaan,Shaan,2416417
